mean_x,std_x,min_x,max_x,mean_y,std_y,min_y,max_y,speed_mean,speed_std,acc_mean,acc_std,dom_freq,speed_energy,label,start_row,end_row
400.7,0.458257569495584,400.0,401.0,396.26,0.48207883172775795,395.0,397.0,4.853553390593274,6.2404342384693505,0.0,98.82117688026186,3.0,90.91699887566797,0,1500,1550
400.26,0.4386342439892261,400.0,401.0,396.14,0.4004996878900157,395.0,397.0,2.5606601717798214,6.591131881904697,-15.625,78.125,1.5,38.89157595422891,0,1525,1575
400.5,0.6403124237432849,400.0,402.0,396.6,0.848528137423857,395.0,398.0,4.207106781186548,6.2088849668595225,0.0,76.54655446197431,0.5,80.9590786780027,0,1550,1600
401.0,0.4,400.0,402.0,397.6,0.66332495807108,396.0,398.0,4.207106781186548,6.2088849668595225,0.0,76.54655446197431,0.5,72.44307170128172,0,1575,1625
401.0,0.0,401.0,401.0,397.98,0.14,397.0,398.0,0.5,2.449489742783178,0.0,0.0,0.5,1.1437541746481266,0,1600,1650
401.06,0.23748684174075835,401.0,402.0,397.84,0.36660605559646714,397.0,398.0,2.0606601717798214,5.19650648574986,0.0,98.82117688026186,0.5,16.649578695471593,0,1625,1675
401.2,0.4,401.0,402.0,397.54,0.4983974317750845,397.0,398.0,4.060660171779821,6.305635492900067,0.0,116.92679333668566,0.5,114.14082472942077,0,1650,1700
401.14,0.34698703145794946,401.0,402.0,397.2,0.4,397.0,398.0,2.25,5.414101956926928,3.125,73.22109071162488,0.5,15.698006565487397,0,1675,1725
401.0,0.0,401.0,401.0,397.0,0.0,397.0,397.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1700,1750
401.04,0.19595917942265423,401.0,402.0,395.08,6.424453284132432,364.0,397.0,18.555742198184294,51.229234148818996,0.0,76.54655446197431,0.0,714.998249855779,0,1725,1775
402.5,3.9862262855989496,398.0,413.0,363.76,34.770424213690575,312.0,397.0,81.6928684580119,95.98841202510835,0.0,159.34435979977454,1.0,19894.764202883576,0,1750,1800
408.6,5.986651818838307,398.0,414.0,360.08,31.129946996421307,312.0,387.0,66.47162374368186,91.73820489239142,9.375,154.39524158794532,1.0,18065.66177080338,0,1775,1825
411.1,3.2264531609803355,405.0,414.0,390.08,5.53476286754907,382.0,399.0,12.430205287224517,15.36603385774793,0.0,116.92679333668566,0.5,435.50348283590466,0,1800,1850
407.14,3.549704213029587,396.0,414.0,396.56,4.481785358537376,386.0,400.0,18.685219923211402,25.265837734403817,-40.625,155.6551175676534,0.5,508.87141238409333,0,1825,1875
